user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
ERR2641733_bin.71	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Hominimerdicola;s__Hominimerdicola sp900539095	GCF_900539095.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Hominimerdicola;s__Hominimerdicola sp900539095	98.28	0.895	GCF_900539095.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Hominimerdicola;s__Hominimerdicola sp900539095	98.28	0.895	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Hominimerdicola;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_934435205.1, s__Hominimerdicola sp934435205, 95.0, 89.71, 0.577; GCF_025567495.1, s__Hominimerdicola aceti, 95.0, 89.99, 0.58; GCA_937898375.1, s__Hominimerdicola sp937898375, 95.0, 89.54, 0.417	91.02	11	N/A	N/A
ERR2641733_bin.73	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217;s__CAG-217 sp000436335	GCA_025757685.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217;s__CAG-217 sp000436335	97.75	0.942	GCA_025757685.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217;s__CAG-217 sp000436335	97.75	0.942	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__CAG-217;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_963605415.1, s__CAG-217 sp963605415, 95.0, 89.89, 0.69; GCA_963638105.1, s__CAG-217 sp963638105, 95.0, 94.93, 0.884; GCA_963642245.1, s__CAG-217 sp963642245, 95.0, 90.96, 0.776	96.11	11	N/A	N/A
ERR2641733_bin.87	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	GCF_964248265.1	95.21	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	99.23	0.84	GCF_964248265.1	95.21	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus	99.23	0.84	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_958432865.1, s__Bacteroides stercoris_A, 95.0, 98.84, 0.316; GCA_019414665.1, s__Phocaeicola sp019414665, 95.0, 98.96, 0.341; GCA_947072895.1, s__Phocaeicola sp011959205, 95.0, 89.85, 0.403; GCF_013009555.1, s__Phocaeicola dorei, 95.0, 95.78, 0.749; GCA_948566455.1, s__Phocaeicola sp948566455, 95.0, 99.06, 0.379; GCA_963651205.1, s__Phocaeicola sp963651205, 95.0, 86.41, 0.286; GCA_019414725.1, s__Phocaeicola sp019414725, 95.0, 97.57, 0.325; GCF_024622025.1, s__Phocaeicola sartorii, 95.0, 90.62, 0.507; GCA_900760795.1, s__Phocaeicola sp900760795, 95.0, 96.32, 0.405; GCA_948579315.1, s__Phocaeicola sp948579315, 95.0, 98.63, 0.384; GCA_947574505.1, s__Phocaeicola sp947574505, 95.0, 98.63, 0.368	78.44	11	N/A	N/A
SRR059458_bin.10	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus;s__Mobiluncus curtisii	GCF_000146285.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus;s__Mobiluncus curtisii	96.07	0.901	GCF_000146285.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus;s__Mobiluncus curtisii	96.07	0.901	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_947087965.1, s__Mobiluncus sp947087965, 95.0, 86.22, 0.414; GCF_902488535.1, s__Mobiluncus sp902488535, 95.0, 86.1, 0.415; GCF_947254095.1, s__Mobiluncus sp947254095, 95.0, 86.29, 0.371; GCF_034180645.1, s__Mobiluncus sp034180645, 95.0, 84.84, 0.356; GCF_943914685.1, s__Mobiluncus sp943914685, 95.0, 86.39, 0.431; GCA_949769255.1, s__Mobiluncus massiliensis, 95.0, 86.1, 0.422; GCF_963511525.1, s__Mobiluncus sp963511525, 95.0, 85.6, 0.418	93.43	11	N/A	N/A
SRR059458_bin.28	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera lornae	GCF_000214495.1	95.0	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera lornae	98.89	0.919	GCF_000214495.1	95.0	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera lornae	98.89	0.919	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	94.49	11	N/A	N/A
SRR059458_bin.30	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Berryella;s__Berryella vaginalis	GCA_051295325.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Berryella;s__Berryella vaginalis	98.33	0.86	GCA_051295325.1	95.0	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Berryella;s__Berryella vaginalis	98.33	0.86	d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Berryella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_946892075.1, s__Berryella sp946892075, 95.0, 89.53, 0.391	97.74	11	N/A	N/A
SRR059458_bin.8	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp001553355	GCA_001553355.1	95.0	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp001553355	97.54	0.838	GCA_001553355.1	95.0	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp001553355	97.54	0.838	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	96.99	11	N/A	N/A
SRR059459_bin.16	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Moryella;s__Moryella sp002892395	GCA_002892395.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Moryella;s__Moryella sp002892395	97.9	0.919	GCA_002892395.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Moryella;s__Moryella sp002892395	97.9	0.919	d__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Moryella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	88.84	11	N/A	N/A
SRR059459_bin.29	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp001553355	GCA_001553355.1	95.0	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp001553355	97.74	0.845	GCA_001553355.1	95.0	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp001553355	97.74	0.845	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	99.04	11	N/A	N/A
SRR059459_bin.5	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus;s__Mobiluncus curtisii	GCF_000146285.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus;s__Mobiluncus curtisii	96.0	0.906	GCF_000146285.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus;s__Mobiluncus curtisii	96.0	0.906	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Mobiluncus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_947087965.1, s__Mobiluncus sp947087965, 95.0, 86.24, 0.426; GCF_902488535.1, s__Mobiluncus sp902488535, 95.0, 85.83, 0.425; GCF_963511525.1, s__Mobiluncus sp963511525, 95.0, 85.79, 0.409; GCA_949769255.1, s__Mobiluncus massiliensis, 95.0, 86.08, 0.434; GCF_034180645.1, s__Mobiluncus sp034180645, 95.0, 85.11, 0.375; GCF_943914685.1, s__Mobiluncus sp943914685, 95.0, 86.47, 0.434; GCF_947254095.1, s__Mobiluncus sp947254095, 95.0, 85.82, 0.38	95.43	11	N/A	N/A
SRR8692206_bin.10	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia radingae_A	GCF_900106055.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia radingae_A	98.55	0.864	GCF_900106055.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__Pauljensenia radingae_A	98.55	0.864	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Pauljensenia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	96.73	11	N/A	N/A
SRR8692206_bin.12	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium neonatale	GCF_001458595.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium neonatale	99.25	0.897	GCF_001458595.1	95.0	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium neonatale	99.25	0.897	d__Bacteria;p__Bacillota;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_015058475.1, s__Clostridium butyricum_B, 95.0, 84.82, 0.239	83.11	11	N/A	N/A
SRR8692206_bin.14	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D sp030405845	GCF_036288925.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D sp030405845	96.89	0.889	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCA_018381885.1, s__Haemophilus_D parainfluenzae_AH, 95.0, 92.44, 0.718; GCF_001811025.1, s__Haemophilus_D sp001811025, 95.0, 93.21, 0.782; GCA_018363335.1, s__Haemophilus_D parainfluenzae_Y, 95.0, 92.93, 0.736; GCF_905205995.1, s__Haemophilus_D sp905205995, 95.0, 93.36, 0.74; GCA_905371285.1, s__Haemophilus_D sp905371285, 95.0, 93.11, 0.775; GCA_018382395.1, s__Haemophilus_D parainfluenzae_R, 95.05, 92.73, 0.765; GCA_019423005.1, s__Haemophilus_D sp019423005, 95.0, 92.08, 0.655; GCF_014931275.1, s__Haemophilus_D sp014931275, 95.06, 93.56, 0.748; GCA_018366115.1, s__Haemophilus_D parainfluenzae_AB, 95.0, 93.06, 0.754; GCF_001055095.1, s__Haemophilus_D parainfluenzae_Z, 95.0, 93.21, 0.783; GCA_905215245.1, s__Haemophilus_D sp905215245, 95.1, 93.78, 0.769; GCA_032568935.1, s__Haemophilus_D parainfluenzae_AE, 95.0, 92.18, 0.723; GCF_003252755.1, s__Haemophilus_D parainfluenzae_N, 95.0, 92.61, 0.764; GCA_963515445.1, s__Haemophilus_D parainfluenzae_AI, 95.0, 92.83, 0.77; GCF_937976265.1, s__Haemophilus_D sp937976265, 95.0, 93.66, 0.721; GCF_048377755.1, s__Haemophilus_D sp048377755, 95.19, 93.06, 0.758; GCF_014931375.1, s__Haemophilus_D sp927911595, 95.09, 93.21, 0.775; GCA_018378615.1, s__Haemophilus_D parainfluenzae_X, 95.0, 91.87, 0.615; GCA_934276625.1, s__Haemophilus_D sp934276625, 95.0, 93.0, 0.695; GCA_902481695.1, s__Haemophilus_D sp902481695, 95.0, 92.7, 0.71; GCF_003252725.1, s__Haemophilus_D parainfluenzae_L, 95.0, 93.21, 0.738; GCA_015255025.1, s__Haemophilus_D sp015255025, 95.0, 92.52, 0.727; GCF_001815355.1, s__Haemophilus_D sp001815355, 95.1, 92.75, 0.787; GCF_900450995.1, s__Haemophilus_D parainfluenzae_O, 95.3, 93.95, 0.753; GCF_003252795.1, s__Haemophilus_D parainfluenzae_K, 95.03, 92.21, 0.79; GCA_965143545.1, s__Haemophilus_D sp965143545, 95.0, 93.0, 0.693; GCF_902461185.1, s__Haemophilus_D sp902461185, 95.27, 92.89, 0.754; GCF_003253005.1, s__Haemophilus_D parainfluenzae_M, 95.0, 93.57, 0.789; GCA_963537955.1, s__Haemophilus_D parainfluenzae_AJ, 95.0, 92.61, 0.717; GCA_934834395.1, s__Haemophilus_D parainfluenzae_Q, 95.27, 93.51, 0.659; GCF_001053575.1, s__Haemophilus_D parainfluenzae_S, 95.0, 92.96, 0.738; GCA_916720325.1, s__Haemophilus_D parainfluenzae_W, 95.0, 92.81, 0.711; GCA_963548985.1, s__Haemophilus_D sp963548985, 95.0, 93.24, 0.787; GCF_902466845.1, s__Haemophilus_D sp902466845, 95.37, 93.83, 0.783; GCA_900756875.1, s__Haemophilus_D sp900756875, 95.0, 93.15, 0.753; GCA_001914055.1, s__Haemophilus_D parainfluenzae_V, 95.0, 93.02, 0.806; GCA_959600045.1, s__Haemophilus_D sp959600045, 95.0, 93.0, 0.725; GCA_900756155.1, s__Haemophilus_D sp900756155, 95.0, 93.19, 0.776; GCF_031191205.1, s__Haemophilus_D parainfluenzae, 95.49, 92.2, 0.731; GCA_900755445.1, s__Haemophilus_D sp900755445, 95.0, 93.53, 0.748; GCF_000210895.1, s__Haemophilus_D parainfluenzae_A, 95.0, 92.86, 0.756; GCA_963517645.1, s__Haemophilus_D sp963517645, 95.0, 92.36, 0.662; GCF_014931395.1, s__Haemophilus_D sp900764435, 95.09, 92.24, 0.726; GCA_959020685.1, s__Haemophilus_D parainfluenzae_T, 95.0, 92.97, 0.745; GCA_963516375.1, s__Haemophilus_D parainfluenzae_AG, 95.0, 92.95, 0.795; GCF_905207935.1, s__Haemophilus_D sp905207935, 95.0, 93.49, 0.726; GCF_001679325.1, s__Haemophilus_D parainfluenzae_AD, 95.21, 91.97, 0.734; GCA_916050345.1, s__Haemophilus_D parainfluenzae_AA, 95.0, 92.98, 0.764; GCF_001679485.1, s__Haemophilus_D sp001679485, 95.0, 93.32, 0.763; GCA_018369675.1, s__Haemophilus_D parainfluenzae_AC, 95.0, 93.11, 0.79; GCF_014931415.1, s__Haemophilus_D parainfluenzae_AF, 95.08, 92.33, 0.747; GCF_900638025.1, s__Haemophilus_D parainfluenzae_J, 95.21, 95.02, 0.843; GCA_905214375.1, s__Haemophilus_D sp905214375, 95.0, 92.54, 0.762; GCA_902482195.1, s__Haemophilus_D sp902482195, 95.0, 93.25, 0.715; GCF_019423025.1, s__Haemophilus_D sp019423025, 95.46, 93.24, 0.778	96.75	11	N/A	N/A
SRR8692206_bin.18	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri	GCF_000014425.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri	98.88	0.868	GCF_000014425.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus gasseri	98.88	0.868	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_947641735.1, s__Lactobacillus sp947641735, 95.0, 84.96, 0.281; GCA_945980025.1, s__Lactobacillus sp945980025, 95.0, 87.25, 0.209; GCA_947565635.1, s__Lactobacillus sp947565635, 95.0, 86.47, 0.309; GCA_949888035.1, s__Lactobacillus johnsonii_B, 95.0, 85.7, 0.166; GCF_046718855.1, s__Lactobacillus sp948948975, 96.26, 85.41, 0.316; GCA_048407585.1, s__Lactobacillus johnsonii_C, 96.33, 87.48, 0.292; GCF_000159355.1, s__Lactobacillus johnsonii, 95.0, 86.51, 0.384; GCF_003584685.1, s__Lactobacillus paragasseri, 95.0, 93.87, 0.774; GCF_013487865.1, s__Lactobacillus johnsonii_A, 95.19, 86.09, 0.314; GCF_032376765.1, s__Lactobacillus sp910589175, 95.0, 85.92, 0.351; GCF_947539375.1, s__Lactobacillus isalae, 95.0, 87.91, 0.471; GCA_946579245.1, s__Lactobacillus sp946579245, 95.0, 86.94, 0.23; GCA_947575965.1, s__Lactobacillus sp947575965, 96.23, 84.69, 0.206; GCA_947568765.1, s__Lactobacillus sp947568765, 95.0, 86.95, 0.37; GCF_014058685.1, s__Lactobacillus sp910589675, 96.93, 85.87, 0.324; GCF_001436695.1, s__Lactobacillus taiwanensis, 95.0, 86.36, 0.358	92.85	11	N/A	N/A
SRR8692206_bin.30	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella parvula_K	GCF_018378075.1	96.54	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella parvula_K	96.83	0.874	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCF_040097785.1, s__Veillonella parvula_D, 96.75, 96.8, 0.881; GCA_934216375.1, s__Veillonella sp934216375, 96.5, 95.81, 0.826; GCA_900766125.1, s__Veillonella sp900766125, 95.0, 87.67, 0.285; GCF_900545205.1, s__Veillonella sp900545205, 95.0, 87.81, 0.439; GCF_047241225.1, s__Veillonella parvula_O, 96.8, 95.88, 0.855; GCA_900550175.1, s__Veillonella sp900550175, 95.0, 88.03, 0.386; GCF_032575955.1, s__Veillonella parvula_J, 96.37, 96.56, 0.863; GCA_900556785.1, s__Veillonella sp900556785, 95.0, 89.78, 0.422; GCF_001553335.1, s__Veillonella parvula_S, 96.23, 95.72, 0.83; GCF_937975875.1, s__Veillonella dispar_B, 95.07, 87.92, 0.432; GCF_019414865.1, s__Veillonella sp019414865, 95.0, 88.37, 0.458; GCF_000024945.1, s__Veillonella parvula, 95.72, 95.51, 0.842; GCF_018783925.1, s__Veillonella parvula_A, 96.45, 96.55, 0.884; GCF_041333735.1, s__Veillonella sp041333735, 95.0, 87.02, 0.432; GCF_002959775.1, s__Veillonella rogosae, 95.0, 87.25, 0.428; GCF_963524655.1, s__Veillonella sp963524655, 95.0, 87.56, 0.437; GCF_963522475.1, s__Veillonella sp963522475, 95.0, 86.5, 0.413; GCA_959601155.1, s__Veillonella parvula_R, 96.44, 96.17, 0.846; GCA_902466275.1, s__Veillonella sp902466275, 96.69, 95.89, 0.775; GCF_048309325.1, s__Veillonella parvula_T, 96.34, 96.03, 0.863; GCF_003463825.1, s__Veillonella sp003463825, 95.0, 87.8, 0.422; GCA_900552715.1, s__Veillonella sp900552715, 95.0, 87.34, 0.4; GCF_013393365.1, s__Veillonella nakazawae, 95.14, 87.22, 0.436; GCA_947096075.1, s__Veillonella parvula_C, 96.2, 93.74, 0.788; GCF_014306175.1, s__Veillonella hominis, 96.45, 96.39, 0.853; GCF_018381775.1, s__Veillonella sp018381775, 95.05, 87.36, 0.46; GCA_934183145.1, s__Veillonella sp934183145, 95.0, 88.05, 0.422; GCF_002959755.1, s__Veillonella sp002959755, 95.06, 87.48, 0.448; GCA_902477915.1, s__Veillonella sp902477915, 95.0, 87.52, 0.413; GCA_934202215.1, s__Veillonella sp934202215, 95.0, 86.76, 0.374; GCF_032470285.1, s__Veillonella sp032470285, 96.35, 96.24, 0.862; GCF_024461875.1, s__Veillonella parvula_I, 96.45, 95.94, 0.869; GCF_040094895.1, s__Veillonella parvula_L, 96.5, 96.51, 0.861; GCA_900549845.1, s__Veillonella sp900549845, 95.0, 88.23, 0.399; GCA_900757715.1, s__Veillonella sp900757715, 95.0, 94.14, 0.77; GCA_032482215.1, s__Veillonella sp032482215, 95.0, 87.77, 0.261; GCA_018382475.1, s__Veillonella parvula_F, 95.0, 96.58, 0.853; GCA_915066865.1, s__Veillonella sp915066865, 95.84, 95.93, 0.81; GCF_032472435.1, s__Veillonella parvula_N, 96.84, 96.03, 0.88; GCF_032550495.1, s__Veillonella parvula_G, 96.45, 96.06, 0.881; GCA_958351665.1, s__Veillonella infantium_A, 95.0, 89.78, 0.307; GCF_934190855.1, s__Veillonella sp934190855, 95.0, 87.84, 0.379; GCF_915069625.1, s__Veillonella sp915069625, 95.18, 88.23, 0.404; GCA_902489125.1, s__Veillonella sp902489125, 95.0, 87.84, 0.412; GCF_040094025.1, s__Veillonella fallax, 95.0, 87.65, 0.444; GCF_036456085.1, s__Veillonella parvula_E, 96.49, 96.09, 0.871; GCF_002959895.1, s__Veillonella infantium, 95.34, 87.03, 0.411; GCA_032480995.1, s__Veillonella sp032480995, 95.98, 96.2, 0.856; GCF_002005185.1, s__Veillonella parvula_M, 96.82, 96.48, 0.878; GCA_019419725.1, s__Veillonella sp019419725, 95.0, 88.01, 0.403; GCF_018366295.1, s__Veillonella parvula_P, 96.83, 96.06, 0.857; GCF_945949885.1, s__Veillonella parvula_B, 96.09, 94.32, 0.805; GCF_938010505.1, s__Veillonella sp938010505, 95.0, 91.46, 0.675; GCF_963543145.1, s__Veillonella sp963543145, 95.0, 87.13, 0.467; GCF_900637515.1, s__Veillonella dispar, 95.03, 87.49, 0.445; GCF_042850485.1, s__Veillonella parvula_Q, 96.12, 96.09, 0.853; GCA_900552445.1, s__Veillonella sp900552445, 95.0, 89.79, 0.406; GCF_905209685.1, s__Veillonella sp905209685, 95.04, 87.51, 0.371; GCA_902478055.1, s__Veillonella sp902478055, 95.0, 87.63, 0.406; GCF_900538355.1, s__Veillonella sp900538355, 95.0, 87.45, 0.428; GCF_902652525.1, s__Veillonella sp032483415, 96.87, 96.47, 0.877; GCF_002847925.1, s__Veillonella parvula_H, 96.09, 95.95, 0.865; GCF_032577575.1, s__Veillonella sp018376995, 96.62, 96.07, 0.854; GCA_959608595.1, s__Veillonella sp959608595, 95.55, 89.88, 0.347	98.98	11	N/A	N/A
SRR8692207_bin.10	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei	GCF_013009555.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei	99.02	0.816	GCF_013009555.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei	99.02	0.816	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_947072895.1, s__Phocaeicola sp011959205, 95.0, 89.63, 0.442; GCA_019414725.1, s__Phocaeicola sp019414725, 95.0, 95.17, 0.351; GCA_900760795.1, s__Phocaeicola sp900760795, 95.0, 93.89, 0.413; GCA_019414665.1, s__Phocaeicola sp019414665, 95.0, 95.54, 0.334; GCA_948579315.1, s__Phocaeicola sp948579315, 95.0, 95.04, 0.368; GCA_963651205.1, s__Phocaeicola sp963651205, 95.0, 85.95, 0.251; GCF_024622025.1, s__Phocaeicola sartorii, 95.0, 89.66, 0.47; GCA_947574505.1, s__Phocaeicola sp947574505, 95.0, 94.98, 0.35; GCA_958432865.1, s__Bacteroides stercoris_A, 95.0, 94.96, 0.299; GCA_948566455.1, s__Phocaeicola sp948566455, 95.0, 95.09, 0.366; GCF_964248265.1, s__Phocaeicola vulgatus, 95.21, 95.24, 0.66	96.67	11	N/A	N/A
